CLK| ON | Rin | Gin | Bin | Bin | Length In ||| Rout | Gout | Bout | BC | Length    | POUT | PWARN |
---+----+-----+-----+-----+-----+-----------+++------+------+------+----+-----------+------+-------+
 x |  x |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   x  | x     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   0  | 1     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   0  |   0  |   0  |  0 | 0. 0 m    |   0  | 1     |
Lightsaber on, recharging...
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 166  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 167  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 168  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 169  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 170  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 171  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 172  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 173  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 174  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 175  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 176  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 177  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 178  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 179  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 179  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 179  | 0     |
